enterprise,april_clover_content_class_pct,timing,chemical_N_kg_ha,annual_table_total_kg_N_ha,source_id,notes
dairy_grazing,grass_sward_no_clover,Feb,24,212,TEAGASC_CLOVER_DAIRY_TODAYS_FARM_2026,SW=soiled water in source table where zero chemical N. Legal N ceiling always overrides. No interpolation between clover classes.
dairy_grazing,grass_sward_no_clover,mid_Mar,36,212,TEAGASC_CLOVER_DAIRY_TODAYS_FARM_2026,SW=soiled water in source table where zero chemical N. Legal N ceiling always overrides. No interpolation between clover classes.
dairy_grazing,grass_sward_no_clover,mid_Apr,20,212,TEAGASC_CLOVER_DAIRY_TODAYS_FARM_2026,SW=soiled water in source table where zero chemical N. Legal N ceiling always overrides. No interpolation between clover classes.
dairy_grazing,grass_sward_no_clover,mid_May,32,212,TEAGASC_CLOVER_DAIRY_TODAYS_FARM_2026,SW=soiled water in source table where zero chemical N. Legal N ceiling always overrides. No interpolation between clover classes.
dairy_grazing,grass_sward_no_clover,mid_Jun,28,212,TEAGASC_CLOVER_DAIRY_TODAYS_FARM_2026,SW=soiled water in source table where zero chemical N. Legal N ceiling always overrides. No interpolation between clover classes.
dairy_grazing,grass_sward_no_clover,mid_Jul,28,212,TEAGASC_CLOVER_DAIRY_TODAYS_FARM_2026,SW=soiled water in source table where zero chemical N. Legal N ceiling always overrides. No interpolation between clover classes.
dairy_grazing,grass_sward_no_clover,mid_Aug,21,212,TEAGASC_CLOVER_DAIRY_TODAYS_FARM_2026,SW=soiled water in source table where zero chemical N. Legal N ceiling always overrides. No interpolation between clover classes.
dairy_grazing,grass_sward_no_clover,mid_Sep,23,212,TEAGASC_CLOVER_DAIRY_TODAYS_FARM_2026,SW=soiled water in source table where zero chemical N. Legal N ceiling always overrides. No interpolation between clover classes.
dairy_grazing,5,Feb,20,175,TEAGASC_CLOVER_DAIRY_TODAYS_FARM_2026,SW=soiled water in source table where zero chemical N. Legal N ceiling always overrides. No interpolation between clover classes.
dairy_grazing,5,mid_Mar,35,175,TEAGASC_CLOVER_DAIRY_TODAYS_FARM_2026,SW=soiled water in source table where zero chemical N. Legal N ceiling always overrides. No interpolation between clover classes.
dairy_grazing,5,mid_Apr,20,175,TEAGASC_CLOVER_DAIRY_TODAYS_FARM_2026,SW=soiled water in source table where zero chemical N. Legal N ceiling always overrides. No interpolation between clover classes.
dairy_grazing,5,mid_May,20,175,TEAGASC_CLOVER_DAIRY_TODAYS_FARM_2026,SW=soiled water in source table where zero chemical N. Legal N ceiling always overrides. No interpolation between clover classes.
dairy_grazing,5,mid_Jun,20,175,TEAGASC_CLOVER_DAIRY_TODAYS_FARM_2026,SW=soiled water in source table where zero chemical N. Legal N ceiling always overrides. No interpolation between clover classes.
dairy_grazing,5,mid_Jul,20,175,TEAGASC_CLOVER_DAIRY_TODAYS_FARM_2026,SW=soiled water in source table where zero chemical N. Legal N ceiling always overrides. No interpolation between clover classes.
dairy_grazing,5,mid_Aug,20,175,TEAGASC_CLOVER_DAIRY_TODAYS_FARM_2026,SW=soiled water in source table where zero chemical N. Legal N ceiling always overrides. No interpolation between clover classes.
dairy_grazing,5,mid_Sep,20,175,TEAGASC_CLOVER_DAIRY_TODAYS_FARM_2026,SW=soiled water in source table where zero chemical N. Legal N ceiling always overrides. No interpolation between clover classes.
dairy_grazing,10,Feb,20,150,TEAGASC_CLOVER_DAIRY_TODAYS_FARM_2026,SW=soiled water in source table where zero chemical N. Legal N ceiling always overrides. No interpolation between clover classes.
dairy_grazing,10,mid_Mar,35,150,TEAGASC_CLOVER_DAIRY_TODAYS_FARM_2026,SW=soiled water in source table where zero chemical N. Legal N ceiling always overrides. No interpolation between clover classes.
dairy_grazing,10,mid_Apr,20,150,TEAGASC_CLOVER_DAIRY_TODAYS_FARM_2026,SW=soiled water in source table where zero chemical N. Legal N ceiling always overrides. No interpolation between clover classes.
