enterprise,reference_stocking_rate_kg_organic_N_ha,clover_class,timing,available_N_kg_ha,annual_total_kg_N_ha,source_id,notes
drystock_grazing,170,low_or_none,Feb_Mar,28,150,TEAGASC_CLOVER_BEEF_2026,Supported current Teagasc strategy at the stated reference stocking rate; do not extrapolate to other systems without a sourced rule.
drystock_grazing,170,low_or_none,Apr,28,150,TEAGASC_CLOVER_BEEF_2026,Supported current Teagasc strategy at the stated reference stocking rate; do not extrapolate to other systems without a sourced rule.
drystock_grazing,170,low_or_none,May,28,150,TEAGASC_CLOVER_BEEF_2026,Supported current Teagasc strategy at the stated reference stocking rate; do not extrapolate to other systems without a sourced rule.
drystock_grazing,170,low_or_none,Jun,18,150,TEAGASC_CLOVER_BEEF_2026,Supported current Teagasc strategy at the stated reference stocking rate; do not extrapolate to other systems without a sourced rule.
drystock_grazing,170,low_or_none,Jul,28,150,TEAGASC_CLOVER_BEEF_2026,Supported current Teagasc strategy at the stated reference stocking rate; do not extrapolate to other systems without a sourced rule.
drystock_grazing,170,low_or_none,Aug_Sep,20,150,TEAGASC_CLOVER_BEEF_2026,Supported current Teagasc strategy at the stated reference stocking rate; do not extrapolate to other systems without a sourced rule.
drystock_grazing,170,april_5pct_approx_10pct_annual,Feb_Mar,28,112,TEAGASC_CLOVER_BEEF_2026,Supported current Teagasc strategy at the stated reference stocking rate; do not extrapolate to other systems without a sourced rule.
drystock_grazing,170,april_5pct_approx_10pct_annual,Apr,20,112,TEAGASC_CLOVER_BEEF_2026,Supported current Teagasc strategy at the stated reference stocking rate; do not extrapolate to other systems without a sourced rule.
drystock_grazing,170,april_5pct_approx_10pct_annual,May,20,112,TEAGASC_CLOVER_BEEF_2026,Supported current Teagasc strategy at the stated reference stocking rate; do not extrapolate to other systems without a sourced rule.
drystock_grazing,170,april_5pct_approx_10pct_annual,Jun,11,112,TEAGASC_CLOVER_BEEF_2026,Supported current Teagasc strategy at the stated reference stocking rate; do not extrapolate to other systems without a sourced rule.
drystock_grazing,170,april_5pct_approx_10pct_annual,Jul,15,112,TEAGASC_CLOVER_BEEF_2026,Supported current Teagasc strategy at the stated reference stocking rate; do not extrapolate to other systems without a sourced rule.
drystock_grazing,170,april_5pct_approx_10pct_annual,Aug_Sep,18,112,TEAGASC_CLOVER_BEEF_2026,Supported current Teagasc strategy at the stated reference stocking rate; do not extrapolate to other systems without a sourced rule.
drystock_grazing,170,april_10pct_high_approx_15pct_annual,Feb_Mar,20,75,TEAGASC_CLOVER_BEEF_2026,Supported current Teagasc strategy at the stated reference stocking rate; do not extrapolate to other systems without a sourced rule.
drystock_grazing,170,april_10pct_high_approx_15pct_annual,Apr,20,75,TEAGASC_CLOVER_BEEF_2026,Supported current Teagasc strategy at the stated reference stocking rate; do not extrapolate to other systems without a sourced rule.
drystock_grazing,170,april_10pct_high_approx_15pct_annual,May,10,75,TEAGASC_CLOVER_BEEF_2026,Supported current Teagasc strategy at the stated reference stocking rate; do not extrapolate to other systems without a sourced rule.
drystock_grazing,170,april_10pct_high_approx_15pct_annual,Jun,0,75,TEAGASC_CLOVER_BEEF_2026,Supported current Teagasc strategy at the stated reference stocking rate; do not extrapolate to other systems without a sourced rule.
drystock_grazing,170,april_10pct_high_approx_15pct_annual,Jul,10,75,TEAGASC_CLOVER_BEEF_2026,Supported current Teagasc strategy at the stated reference stocking rate; do not extrapolate to other systems without a sourced rule.
drystock_grazing,170,april_10pct_high_approx_15pct_annual,Aug_Sep,15,75,TEAGASC_CLOVER_BEEF_2026,Supported current Teagasc strategy at the stated reference stocking rate; do not extrapolate to other systems without a sourced rule.
