animal_type,target_ADG_kg_day,silage_DMD_pct,guideline_concentrate_kg_head_day,source_id,notes
weanling,0.6,66,1.8,TEAGASC_DAIRYBEEF_DMD,
weanling,0.6,68,1.5,TEAGASC_DAIRYBEEF_DMD,
weanling,0.6,70,1.2,TEAGASC_DAIRYBEEF_DMD,
weanling,0.6,72,0.9,TEAGASC_DAIRYBEEF_DMD,
weanling,0.6,74,0.6,TEAGASC_DAIRYBEEF_DMD,
weanling,0.6,76,0.4,TEAGASC_DAIRYBEEF_DMD,
finishing_steer,1.0,66,7.0,TEAGASC_DAIRYBEEF_DMD,
finishing_steer,1.0,68,6.0,TEAGASC_DAIRYBEEF_DMD,
finishing_steer,1.0,70,5.5,TEAGASC_DAIRYBEEF_DMD,
finishing_steer,1.0,72,5.0,TEAGASC_DAIRYBEEF_DMD,
finishing_steer,1.0,74,4.0,TEAGASC_DAIRYBEEF_DMD,
finishing_steer,1.0,76,4.0,TEAGASC_DAIRYBEEF_DMD,
finishing_heifer,0.9,66,7.0,TEAGASC_DAIRYBEEF_DMD,66 DMD finishing heifer: Teagasc marks ad-lib feeding should be considered.
finishing_heifer,0.9,68,6.0,TEAGASC_DAIRYBEEF_DMD,
finishing_heifer,0.9,70,5.5,TEAGASC_DAIRYBEEF_DMD,
finishing_heifer,0.9,72,5.0,TEAGASC_DAIRYBEEF_DMD,
finishing_heifer,0.9,74,4.0,TEAGASC_DAIRYBEEF_DMD,
finishing_heifer,0.9,76,4.0,TEAGASC_DAIRYBEEF_DMD,
