Seq,Chapter,Source PDF Page,Table Number,Detected Title,Row #,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26,Col_27,Col_28,Col_29
1,6 Soil Index System,27,,Table6-1:TheSoil Indexsystem,1,Table6-1:TheSoil Indexsystem,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6 Soil Index System,27,,Table6-1:TheSoil Indexsystem,2,,Soil Index,Index description,Response tofertilizers,,,,,,,,,,,,,,,,,,,,,,,,,
1,6 Soil Index System,27,,Table6-1:TheSoil Indexsystem,3,,1,Very low,Definite,,,,,,,,,,,,,,,,,,,,,,,,,
1,6 Soil Index System,27,,Table6-1:TheSoil Indexsystem,4,,2,Low,Likely,,,,,,,,,,,,,,,,,,,,,,,,,
1,6 Soil Index System,27,,Table6-1:TheSoil Indexsystem,5,,3,Medium/ Adequate,Unlikely/Tenuous,,,,,,,,,,,,,,,,,,,,,,,,,
1,6 Soil Index System,27,,Table6-1:TheSoil Indexsystem,6,,4,Sufficient/High,None,,,,,,,,,,,,,,,,,,,,,,,,,
2,6 Soil Index System,28,,Table6-2:NIndexfor tillage crops that follow short leys or tillage. This table can also be used for grass establishment.,1,Table6-2:NIndexfor tillage crops that follow short leys or tillage. This table can also be used for grass establishment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6 Soil Index System,28,,Table6-2:NIndexfor tillage crops that follow short leys or tillage. This table can also be used for grass establishment.,2,,Index 1,Index 2,,Index 3,Index 4,,,,,,,,,,,,,,,,,,,,,,,
2,6 Soil Index System,28,,Table6-2:NIndexfor tillage crops that follow short leys or tillage. This table can also be used for grass establishment.,3,,------------------------------------------------------- Previous crop-------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6 Soil Index System,28,,Table6-2:NIndexfor tillage crops that follow short leys or tillage. This table can also be used for grass establishment.,4,"Cereals, Maize","Cereals, Maize","Sugar beet, Fodder",,,,,,,,,,,,,,,,,,,,,,,,,,
2,6 Soil Index System,28,,Table6-2:NIndexfor tillage crops that follow short leys or tillage. This table can also be used for grass establishment.,5,,,"beet,Potatoes,",,,,,,,,,,,,,,,,,,,,,,,,,,
2,6 Soil Index System,28,,Table6-2:NIndexfor tillage crops that follow short leys or tillage. This table can also be used for grass establishment.,6,,,"Mangels, Kale,",,,,,,,,,,,,,,,,,,,,,,,,,,
2,6 Soil Index System,28,,Table6-2:NIndexfor tillage crops that follow short leys or tillage. This table can also be used for grass establishment.,7,,,Oil seed rape,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6 Soil Index System,28,,Table6-2:NIndexfor tillage crops that follow short leys or tillage. This table can also be used for grass establishment.,8,,,"Peas, Beans,",,,,,,,,,,,,,,,,,,,,,,,,,,
2,6 Soil Index System,28,,Table6-2:NIndexfor tillage crops that follow short leys or tillage. This table can also be used for grass establishment.,9,,,Leys (1-4 years),Swedes grazed in situ.,,,,,,,,,,,,,,,,,,,,,,,,,
2,6 Soil Index System,28,,Table6-2:NIndexfor tillage crops that follow short leys or tillage. This table can also be used for grass establishment.,10,,,grazed or cut and,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6 Soil Index System,28,,Table6-2:NIndexfor tillage crops that follow short leys or tillage. This table can also be used for grass establishment.,11,,,grazed.,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6 Soil Index System,28,,Table6-2:NIndexfor tillage crops that follow short leys or tillage. This table can also be used for grass establishment.,12,,,Swedes removed.,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6 Soil Index System,28,,Table6-2:NIndexfor tillage crops that follow short leys or tillage. This table can also be used for grass establishment.,13,,Vegetables receiving,Vegetablesreceiving,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6 Soil Index System,28,,Table6-2:NIndexfor tillage crops that follow short leys or tillage. This table can also be used for grass establishment.,14,,less than 200 kg/ha N.,more than 200 kg/ha N.,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6 Soil Index System,28,,Table6-3:NIndexfor pasture establishment or tillage crops that follow long leys (5 years or more) or permanent pasture,1,Table6-3:NIndexfor pasture establishment or tillage crops that follow long leys (5 years or more) or permanent pasture,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6 Soil Index System,28,,Table6-3:NIndexfor pasture establishment or tillage crops that follow long leys (5 years or more) or permanent pasture,2,,Index 1,,Index 2,Index 3,,Index 4,,,,,,,,,,,,,,,,,,,,,,
3,6 Soil Index System,28,,Table6-3:NIndexfor pasture establishment or tillage crops that follow long leys (5 years or more) or permanent pasture,3,,------------------------------------------------------- Previous crop-------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6 Soil Index System,28,,Table6-3:NIndexfor pasture establishment or tillage crops that follow long leys (5 years or more) or permanent pasture,4,Any crop sown as the 5thtillage crop following long leys or permanent pasture. For subsequent tillage crops use Table6-2.,Any crop sown as the,Any crop sown as the 3rdor 4thtillage crop following long leys or permanent pasture. If original long ley or permanent pasture was cut only useIndex1.,,Any crop sown as the,Any crop sown as the 1stor 2ndtillage crop following very good long leys or permanent pasture which was grazed only.,Any crop sown as,,,,,,,,,,,,,,,,,,,,,,
3,6 Soil Index System,28,,Table6-3:NIndexfor pasture establishment or tillage crops that follow long leys (5 years or more) or permanent pasture,5,,5thtillage crop,,,1stor 2ndtillage crop,,the 1stor 2ndtillage,,,,,,,,,,,,,,,,,,,,,,
3,6 Soil Index System,28,,Table6-3:NIndexfor pasture establishment or tillage crops that follow long leys (5 years or more) or permanent pasture,6,,following long leys or,,,following long leys or,,crop following very,,,,,,,,,,,,,,,,,,,,,,
3,6 Soil Index System,28,,Table6-3:NIndexfor pasture establishment or tillage crops that follow long leys (5 years or more) or permanent pasture,7,,permanent pasture.,,,permanent pasture (see,,good long leys or,,,,,,,,,,,,,,,,,,,,,,
3,6 Soil Index System,28,,Table6-3:NIndexfor pasture establishment or tillage crops that follow long leys (5 years or more) or permanent pasture,8,,,,,alsoIndex4).If original,,permanent pasture,,,,,,,,,,,,,,,,,,,,,,
3,6 Soil Index System,28,,Table6-3:NIndexfor pasture establishment or tillage crops that follow long leys (5 years or more) or permanent pasture,9,,,,,long ley or permanent,,which was grazed,,,,,,,,,,,,,,,,,,,,,,
3,6 Soil Index System,28,,Table6-3:NIndexfor pasture establishment or tillage crops that follow long leys (5 years or more) or permanent pasture,10,,For subsequent tillage,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6 Soil Index System,28,,Table6-3:NIndexfor pasture establishment or tillage crops that follow long leys (5 years or more) or permanent pasture,11,,,,,pasture was cut only,,only.,,,,,,,,,,,,,,,,,,,,,,
3,6 Soil Index System,28,,Table6-3:NIndexfor pasture establishment or tillage crops that follow long leys (5 years or more) or permanent pasture,12,,crops use Table6-2.,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6 Soil Index System,28,,Table6-3:NIndexfor pasture establishment or tillage crops that follow long leys (5 years or more) or permanent pasture,13,,,,,useIndex2.,,,,,,,,,,,,,,,,,,,,,,,,
4,6 Soil Index System,28,,Any crop sown as the,1,Any crop sown as the,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6 Soil Index System,28,,Any crop sown as the,2,3rdor 4thtillage crop,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6 Soil Index System,28,,Any crop sown as the,3,following long leys or,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6 Soil Index System,28,,Any crop sown as the,4,permanent pasture. If,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6 Soil Index System,28,,Any crop sown as the,5,original long ley or,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6 Soil Index System,28,,Any crop sown as the,6,permanent pasture was,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6 Soil Index System,28,,Any crop sown as the,7,cut only useIndex1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6 Soil Index System,29,,Table6-4:The PIndexsystem,1,Table6-4:The PIndexsystem,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6 Soil Index System,29,,Table6-4:The PIndexsystem,2,Soil PIndex,,Soil Pranges (mg/l),,,,,,,,,,,,,,,,,,,,,,,,,,
5,6 Soil Index System,29,,Table6-4:The PIndexsystem,3,,,Grassland crops,Othercrops,,,,,,,,,,,,,,,,,,,,,,,,,
5,6 Soil Index System,29,,Table6-4:The PIndexsystem,4,,1,0.0-3.0,0.0-3.0,,,,,,,,,,,,,,,,,,,,,,,,,
5,6 Soil Index System,29,,Table6-4:The PIndexsystem,5,,2,3.1-5.0,3.1-6.0,,,,,,,,,,,,,,,,,,,,,,,,,
5,6 Soil Index System,29,,Table6-4:The PIndexsystem,6,,3,5.1-8.0,6.1-10.0,,,,,,,,,,,,,,,,,,,,,,,,,
5,6 Soil Index System,29,,Table6-4:The PIndexsystem,7,,4,Above 8.0,Above 10.0,,,,,,,,,,,,,,,,,,,,,,,,,
6,6 Soil Index System,29,,Table6-5:The KIndexsystem,1,Table6-5:The KIndexsystem,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6 Soil Index System,29,,Table6-5:The KIndexsystem,2,Soil KIndex,,Soil Kranges (mg/l),,,,,,,,,,,,,,,,,,,,,,,,,,
6,6 Soil Index System,29,,Table6-5:The KIndexsystem,3,,1,0-50,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6 Soil Index System,29,,Table6-5:The KIndexsystem,4,,2,51-100,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6 Soil Index System,29,,Table6-5:The KIndexsystem,5,,3,101-150,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6 Soil Index System,29,,Table6-5:The KIndexsystem,6,,4,Above 150,,,,,,,,,,,,,,,,,,,,,,,,,,
7,6 Soil Index System,29,,Table6-6:The MgIndexsystem,1,Table6-6:The MgIndexsystem,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,6 Soil Index System,29,,Table6-6:The MgIndexsystem,2,Soil MgIndex,,Soil Mgranges (mg/l),,,,,,,,,,,,,,,,,,,,,,,,,,
7,6 Soil Index System,29,,Table6-6:The MgIndexsystem,3,,1,0-25,,,,,,,,,,,,,,,,,,,,,,,,,,
7,6 Soil Index System,29,,Table6-6:The MgIndexsystem,4,,2,26-50,,,,,,,,,,,,,,,,,,,,,,,,,,
7,6 Soil Index System,29,,Table6-6:The MgIndexsystem,5,,3,51-100,,,,,,,,,,,,,,,,,,,,,,,,,,
7,6 Soil Index System,29,,Table6-6:The MgIndexsystem,6,,4,Above 100,,,,,,,,,,,,,,,,,,,,,,,,,,
8,6 Soil Index System,30,,Table6-7:The CuIndexsystem,1,Table6-7:The CuIndexsystem,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,6 Soil Index System,30,,Table6-7:The CuIndexsystem,2,Soil CuIndex,,Soil Curanges (mg/l)1,,,,,,,,,,,,,,,,,,,,,,,,,,
8,6 Soil Index System,30,,Table6-7:The CuIndexsystem,3,,11,< 1.00,,,,,,,,,,,,,,,,,,,,,,,,,,
8,6 Soil Index System,30,,Table6-7:The CuIndexsystem,4,,2,1.01-1.50,,,,,,,,,,,,,,,,,,,,,,,,,,
8,6 Soil Index System,30,,Table6-7:The CuIndexsystem,5,,3,1.51-3.00,,,,,,,,,,,,,,,,,,,,,,,,,,
8,6 Soil Index System,30,,Table6-7:The CuIndexsystem,6,,4,> 3.00,,,,,,,,,,,,,,,,,,,,,,,,,,
8,6 Soil Index System,30,,Table6-7:The CuIndexsystem,7,,1. Extractant for Cu: 0.5MEDTA-pH 7.0.,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,6 Soil Index System,30,,Table6-8:The ZnIndexsystem,1,Table6-8:The ZnIndexsystem,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,6 Soil Index System,30,,Table6-8:The ZnIndexsystem,2,Soil ZnIndex,,Soil Znranges (mg/l)1,,,,,,,,,,,,,,,,,,,,,,,,,,
9,6 Soil Index System,30,,Table6-8:The ZnIndexsystem,3,,11,< 1.00,,,,,,,,,,,,,,,,,,,,,,,,,,
9,6 Soil Index System,30,,Table6-8:The ZnIndexsystem,4,,2,1.01-1.502,,,,,,,,,,,,,,,,,,,,,,,,,,
9,6 Soil Index System,30,,Table6-8:The ZnIndexsystem,5,,3,1.51-3.00,,,,,,,,,,,,,,,,,,,,,,,,,,
9,6 Soil Index System,30,,Table6-8:The ZnIndexsystem,6,,4,> 3.00,,,,,,,,,,,,,,,,,,,,,,,,,,
9,6 Soil Index System,30,,Table6-8:The ZnIndexsystem,7,,1. Extractant for Zn: 0.5MEDTA-pH 7.0.,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,6 Soil Index System,30,,Table6-8:The ZnIndexsystem,8,,"2. At soil pH greater than 7.0, Zn deficiency may be severe when the soil contains less than",,,,,,,,,,,,,,,,,,,,,,,,,,,
9,6 Soil Index System,30,,Table6-8:The ZnIndexsystem,9,,1.50 mg/l Zn.,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,6 Soil Index System,30,,Table6-9:The ER-MnIndexsystem,1,Table6-9:The ER-MnIndexsystem,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,6 Soil Index System,30,,Table6-9:The ER-MnIndexsystem,2,Soil ER-MnIndex,,Soil ER-Mnranges (mg/l)1,,,,,,,,,,,,,,,,,,,,,,,,,,
10,6 Soil Index System,30,,Table6-9:The ER-MnIndexsystem,3,,11,< 90.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10,6 Soil Index System,30,,Table6-9:The ER-MnIndexsystem,4,,2,90.1-120,,,,,,,,,,,,,,,,,,,,,,,,,,
10,6 Soil Index System,30,,Table6-9:The ER-MnIndexsystem,5,,3,> 120,,,,,,,,,,,,,,,,,,,,,,,,,,
10,6 Soil Index System,30,,Table6-9:The ER-MnIndexsystem,6,,1. Extractant for ER-Mn: 0.5MEDTA-pH 7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,6 Soil Index System,31,,Table6-10:The CoIndexsystem1,1,Table6-10:The CoIndexsystem1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,6 Soil Index System,31,,Table6-10:The CoIndexsystem1,2,Soil CoIndex,,SoilCoranges (mg/kg),,,,,,,,,,,,,,,,,,,,,,,,,,
11,6 Soil Index System,31,,Table6-10:The CoIndexsystem1,3,,1,0-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11,6 Soil Index System,31,,Table6-10:The CoIndexsystem1,4,,2,3.1-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11,6 Soil Index System,31,,Table6-10:The CoIndexsystem1,5,,3,5.1-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11,6 Soil Index System,31,,Table6-10:The CoIndexsystem1,6,,4,Above 10,,,,,,,,,,,,,,,,,,,,,,,,,,
11,6 Soil Index System,31,,Table6-10:The CoIndexsystem1,7,,1. See Table11-2for Co/total Mn treatment options for sheep on grassland,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,6 Soil Index System,31,,Table6-11:The BIndexsystem,1,Table6-11:The BIndexsystem,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,6 Soil Index System,31,,Table6-11:The BIndexsystem,2,Soil BIndex,,Soil Branges (mg/kg)1,,,,,,,,,,,,,,,,,,,,,,,,,,
12,6 Soil Index System,31,,Table6-11:The BIndexsystem,3,,1,< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
