Seq,Chapter,Source PDF Page,Table Number,Detected Title,Rows,Columns
1,6 Soil Index System,27,,Table6-1:TheSoil Indexsystem,6,4
2,6 Soil Index System,28,,Table6-2:NIndexfor tillage crops that follow short leys or tillage. This table can also be used for grass establishment.,14,6
3,6 Soil Index System,28,,Table6-3:NIndexfor pasture establishment or tillage crops that follow long leys (5 years or more) or permanent pasture,13,7
4,6 Soil Index System,28,,Any crop sown as the,7,1
5,6 Soil Index System,29,,Table6-4:The PIndexsystem,7,4
6,6 Soil Index System,29,,Table6-5:The KIndexsystem,6,3
7,6 Soil Index System,29,,Table6-6:The MgIndexsystem,6,3
8,6 Soil Index System,30,,Table6-7:The CuIndexsystem,7,3
9,6 Soil Index System,30,,Table6-8:The ZnIndexsystem,9,3
10,6 Soil Index System,30,,Table6-9:The ER-MnIndexsystem,6,3
11,6 Soil Index System,31,,Table6-10:The CoIndexsystem1,7,3
12,6 Soil Index System,31,,Table6-11:The BIndexsystem,7,3
13,7 Peats & 8 Liming,32,,Table7-1: TheIndexsystem for K and Mg in peats,7,3
14,7 Peats & 8 Liming,33,,"Table7-2:TheIndexsystem for Cu, Zn andER-Mnin peats",6,7
15,9 Organic Materials,38,,Table8-1:Soilacidity effects on grassland and tillage crops,14,5
16,9 Organic Materials,40,,"Table9-1: Dry Matter andN, P and K levels incattle slurry samples from Irish farms1,2",7,11
17,9 Organic Materials,42,,Table9-2: Nitrogenfertilizer replacement value (NFRV)1incattle slurry according to application timing and method,10,6
18,9 Organic Materials,44,9-3,"Table 9-3: AverageavailableN, P and K incattle slurryapplied to soils with low P and K Index (1 or 2)ineither spring or summer1,2",10,8
19,9 Organic Materials,44,9-4,"Table 9-4: AverageavailableN, P and K incattle slurryapplied to soils withmedium or highP and K Index (3or4) ineither spring or summer1,2,3",12,8
20,9 Organic Materials,45,9-5,"Table 9-5: AverageavailableN, P and K in organicfertilizers applied to soils with low P and K Index (1 or 2)",17,11
21,9 Organic Materials,45,9-6,"Table 9-6: AverageavailableN, P and K in organicfertilizersapplied to soils withmedium to highP and K Index (3or4)",17,11
22,9 Organic Materials,46,,Table9-7:TotalSulphur and Magnesiumlevels in organic fertilizers,15,6
23,9 Organic Materials,48,,"Table9-8:TypicalavailableN,P, andK applied(kg/ha)1, 2, 3, 4depending on cattle slurry dry matter content and application rate4",22,14
24,9 Organic Materials,49,,"Table9-9: Total NandPlevels in organic fertilizers as specified underthe NAP regulatons1,2",17,5
25,9 Organic Materials,50,9-10-Nutrient,Table 9-10-Nutrient availability in organic fertilizers according tothe NAP regulations,13,8
26,10 Chemical Fertiliser,51,,"Table9-11:Typicalcharacteristics andtotalnutrient values of differently treated biosolids1,2",12,8
27,10 Chemical Fertiliser,52,,"Table9-12:Typicaltotalnutrient values ofcompost,1",7,7
28,11 Mg S Micronutrients,54,,Table10-1: Phosphate fertilizer types,3,4
29,11 Mg S Micronutrients,56,,"Table11-1.Mutual interactions ofmajornutrients,micronutrientsand soil characteristics for agricultural crops",29,29
30,11 Mg S Micronutrients,58,,Table11-2:Risk assessment and remedial procedures for sheep on grassland based on Co andtotal Mn levels in soil,13,16
31,12 Grassland Nitrogen,63,,Table11-3: The effect of soil texture and soil type on the critical soil concentrations of copper in spring barley,8,3
32,12 Grassland Nitrogen,67,,"Table12-1:Suggestedtiming of available N applications forgrassswards,with lowlevels (<15%)or,no,cloverpresent,grazed bydairy cowsat various stocking rates",30,21
33,12 Grassland Nitrogen,69,,Table12-2:Suggestedtiming of available N applications for swards grazed by suckler calf to weaning production systems (weaned within9monthsof age)at various stocking rates,27,19
34,12 Grassland Nitrogen,70,,Table12-3:Suggestedtiming of available N applications for swards grazed by suckler calf to beef production systems (steers finished at24 monthsof age and heifers finished at 20 months of age)at various stocking rates,28,20
35,12 Grassland Nitrogen,71,,Table12-4:Suggestedtiming of available N applications for swards grazedby calf to beef production systems (finishing steers at24 monthsor age)at various stocking rates,28,20
36,12 Grassland Nitrogen,72,,Table12-5:Suggestedtiming of available N applications for swards grazedby sheep and lamb production systems (mid-March lambing)at various stocking rates with low to and normal clover content,23,19
37,12 Grassland Nitrogen,74,,Table12-6:Suggestedtiming of available N applications forproductivegrass-cloverswards used forgrazingat various stocking rates,33,18
38,12 Grassland Nitrogen,76,,Table12-7: Available Nrates for cut swards.,18,3
39,13 Grassland Phosphorus,77,,Table12-8:Nitrogen for pasture establishment without a cover crop1(kg/ha),15,4
40,13 Grassland Phosphorus,78,,"Table12-9: Annual maximum fertilization rates of availableN for grassland on holdings on which grazing livestockare kept, as specified in the NAP regulations",25,3
41,13 Grassland Phosphorus,79,,"Table12-10: Annual maximum fertilization rates of available N for grassland (cut only, no grazing livestock onholding) as specified in the NAP regulations",8,3
42,13 Grassland Phosphorus,81,,Table13-1:P Index for grassland,7,6
43,13 Grassland Phosphorus,82,,Table13-2: Available P rates (kg/ha) for build-up on mineral soils,9,3
44,13 Grassland Phosphorus,83,13-3,"Table 13-3:Grazing: Maintenance rates of available soil P to replace offtakes (kg/ha)1,2,3",19,4
45,13 Grassland Phosphorus,84,,Table13-4: Silage and hay: Soil P maintenance requirement to replace offtakes (kg/ha)15t/ha,7,4
46,13 Grassland Phosphorus,84,13-5,Table 13-5: P rates (kg/ha) required for pasture establishment without a cover crop,9,4
47,14 Grass K & Horses,86,,"Table13-6: Annual maximum fertilization rates of available P for grassland (grazing plus silage) on holdings on which grazing livestock are kept, as specified in the NAP regulations",31,6
48,14 Grass K & Horses,87,,"Table13-7: Annual maximum fertilization rates of available P for grassland (cut only, no grazing livestock on holding) as specified in the NAP regulations",12,6
49,14 Grass K & Horses,88,14-1,"Table 14-1: Available K for grazing at stocking rate of 2 LU/ha1,2",13,4
50,16 Cereals,89,14-2,Table 14-2: Available K for silage and hay (kg/ha). The advice assumes a dry matter yield of 5 t/ha for first cut and 3 t/ha for 2ndor subsequent cuts1,9,3
51,16 Cereals,89,,Table14-3:Chemical K fertilizer advice for silage (kg/ha) where 33 t/ha of cattle slurry is applied to the first cut1. The advice assumesa herbage dry matter yield of 5 t/ha2,15,2
52,16 Cereals,90,,Table14-4: Potassiumfor pasture establishment without a cover crop1,8,4
53,16 Cereals,91,,"Table15-1: Available N, advice andP and K(kg/ha)for maintainance on swards grazed by horses atat various stocking rates",9,8
54,16 Cereals,93,16-1,Table 16-1: Available N1for wheat (kg/ha) having moderate yields2orwhere proof of higher yields is not available,18,4
55,16 Cereals,94,16-2,Table 16-2: Available N1for wheat (kg/ha) where proof of higher yields is available,24,6
56,16 Cereals,95,16-3,Table 16-3: Available N1for barley (kg/ha) for moderate yields2or whereproof of higher yields is not available,19,4
57,16 Cereals,96,16-4,Table 16-4: Available N1for barley (kg/ha) where proof of higher yields is available,25,5
58,16 Cereals,97,16-5,Table 16-5: Available N1 for oats (kg/ha) for moderate yields2or where proof of higher yields is not available,15,4
59,16 Cereals,97,16-6,Table 16-6: Available N1for oats (kg/ha) where proof of higher yields is available,22,5
60,16 Cereals,99,16-7,Table 16-7: P and K offtakes in cereal crops (kg/ha) per tonne of grain yield,7,6
61,16 Cereals,99,16-8,Table 16-8: Typical P and K offtakes in cereal crops (kg/ha),19,8
