Seq,Chapter,Source PDF Page,Table Number,Detected Title,Row #,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26,Col_27,Col_28,Col_29
15,9 Organic Materials,38,,Table8-1:Soilacidity effects on grassland and tillage crops,1,Table8-1:Soilacidity effects on grassland and tillage crops,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,9 Organic Materials,38,,Table8-1:Soilacidity effects on grassland and tillage crops,2,,"rezilitref K & P ,N fo esu tneiciffe rof egnar mumitpO",,pH,Effect,,,,,,,,,,,,,,,,,,,,,,,,
15,9 Organic Materials,38,,Table8-1:Soilacidity effects on grassland and tillage crops,3,,,,8.0,"Overlimed: low availability ofmicronutrients, especially of Mg, Mn and B",,,,,,,,,,,,,,,,,,,,,,,,
15,9 Organic Materials,38,,Table8-1:Soilacidity effects on grassland and tillage crops,4,,,,7.2,"Top of optimum range for efficient use of N, PandKfertilizer",,,,,,,,,,,,,,,,,,,,,,,,
15,9 Organic Materials,38,,Table8-1:Soilacidity effects on grassland and tillage crops,5,,,,7.0,"Optimum pH for white clover, beet (sugar and fodder), beans, peas, and oil",,,,,,,,,,,,,,,,,,,,,,,,
15,9 Organic Materials,38,,Table8-1:Soilacidity effects on grassland and tillage crops,6,,,,,seed rape.,,,,,,,,,,,,,,,,,,,,,,,,
15,9 Organic Materials,38,,Table8-1:Soilacidity effects on grassland and tillage crops,7,,,,6.5,Optimum pH for cereals.,,,,,,,,,,,,,,,,,,,,,,,,
15,9 Organic Materials,38,,Table8-1:Soilacidity effects on grassland and tillage crops,8,,,,6.3,Optimum pH for grass.,,,,,,,,,,,,,,,,,,,,,,,,
15,9 Organic Materials,38,,Table8-1:Soilacidity effects on grassland and tillage crops,9,,,6.2,,Maximum pH for grass on high Mo soils,,,,,,,,,,,,,,,,,,,,,,,,
15,9 Organic Materials,38,,Table8-1:Soilacidity effects on grassland and tillage crops,10,,,,,"Bottom of optimum range for efficient use of N, PandKfertilizer for most",,,,,,,,,,,,,,,,,,,,,,,,
15,9 Organic Materials,38,,Table8-1:Soilacidity effects on grassland and tillage crops,11,,,,,crops,,,,,,,,,,,,,,,,,,,,,,,,
15,9 Organic Materials,38,,Table8-1:Soilacidity effects on grassland and tillage crops,12,,,,6.0,Optimum pH for potatoes.,,,,,,,,,,,,,,,,,,,,,,,,
15,9 Organic Materials,38,,Table8-1:Soilacidity effects on grassland and tillage crops,13,,,,5.5,Optimum pH for peats.,,,,,,,,,,,,,,,,,,,,,,,,
15,9 Organic Materials,38,,Table8-1:Soilacidity effects on grassland and tillage crops,14,,,,5.0,Very acid. Possibility ofAl and Mn toxicity.,,,,,,,,,,,,,,,,,,,,,,,,
16,9 Organic Materials,40,,"Table9-1: Dry Matter andN, P and K levels incattle slurry samples from Irish farms1,2",1,"Table9-1: Dry Matter andN, P and K levels incattle slurry samples from Irish farms1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,9 Organic Materials,40,,"Table9-1: Dry Matter andN, P and K levels incattle slurry samples from Irish farms1,2",2,Cattle slurry,,DM %,,N kg/t,,NH -N kg/t 4,,P kg/t,K kg/t,,,,,,,,,,,,,,,,,,,
16,9 Organic Materials,40,,"Table9-1: Dry Matter andN, P and K levels incattle slurry samples from Irish farms1,2",3,,Average values,,6.3,,2.4,,1.4,0.5,,3.5,,,,,,,,,,,,,,,,,,
16,9 Organic Materials,40,,"Table9-1: Dry Matter andN, P and K levels incattle slurry samples from Irish farms1,2",4,,Range in values,,0.4-11.9,,0.2-5.2,,0.2-3.4,0.1-1.1,,0.5 -7.7,,,,,,,,,,,,,,,,,,
16,9 Organic Materials,40,,"Table9-1: Dry Matter andN, P and K levels incattle slurry samples from Irish farms1,2",5,,"1. Surveys of cattle slurry (dairy and beef farms) conducted by Berryet al.,2013.",,,,,,,,,,,,,,,,,,,,,,,,,,,
16,9 Organic Materials,40,,"Table9-1: Dry Matter andN, P and K levels incattle slurry samples from Irish farms1,2",6,,2. 1 tonne slurry = 1000 litres = 1 m3. 1000 gallons = 4.5 tonnes. 1000 gallons/acre = 11,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,9 Organic Materials,40,,"Table9-1: Dry Matter andN, P and K levels incattle slurry samples from Irish farms1,2",7,,tonnes/ha. (See Appendix 1).,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,9 Organic Materials,42,,Table9-2: Nitrogenfertilizer replacement value (NFRV)1incattle slurry according to application timing and method,1,Table9-2: Nitrogenfertilizer replacement value (NFRV)1incattle slurry according to application timing and method,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,9 Organic Materials,42,,Table9-2: Nitrogenfertilizer replacement value (NFRV)1incattle slurry according to application timing and method,2,Timing,,Method,,NFRV (%)2,,,,,,,,,,,,,,,,,,,,,,,,
17,9 Organic Materials,42,,Table9-2: Nitrogenfertilizer replacement value (NFRV)1incattle slurry according to application timing and method,3,Spring,,,Splashplate,,30,,,,,,,,,,,,,,,,,,,,,,,
17,9 Organic Materials,42,,Table9-2: Nitrogenfertilizer replacement value (NFRV)1incattle slurry according to application timing and method,4,,,,Trailing shoe,,40,,,,,,,,,,,,,,,,,,,,,,,
17,9 Organic Materials,42,,Table9-2: Nitrogenfertilizer replacement value (NFRV)1incattle slurry according to application timing and method,5,Summer,,,Splashplate,,15,,,,,,,,,,,,,,,,,,,,,,,
17,9 Organic Materials,42,,Table9-2: Nitrogenfertilizer replacement value (NFRV)1incattle slurry according to application timing and method,6,,,,Trailing shoe,,25,,,,,,,,,,,,,,,,,,,,,,,
17,9 Organic Materials,42,,Table9-2: Nitrogenfertilizer replacement value (NFRV)1incattle slurry according to application timing and method,7,,1. Nitrogen fertilizer replacement values (NFRV) is the percentage of the total slurry N,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,9 Organic Materials,42,,Table9-2: Nitrogenfertilizer replacement value (NFRV)1incattle slurry according to application timing and method,8,,"available for plant uptake from Laloret al.,2014.",,,,,,,,,,,,,,,,,,,,,,,,,,,
17,9 Organic Materials,42,,Table9-2: Nitrogenfertilizer replacement value (NFRV)1incattle slurry according to application timing and method,9,,"2. Refers to the total NFRV in the year of application, and is the sum of the short term",,,,,,,,,,,,,,,,,,,,,,,,,,,
17,9 Organic Materials,42,,Table9-2: Nitrogenfertilizer replacement value (NFRV)1incattle slurry according to application timing and method,10,,NFRV after slurry application and the residual NFRV over the remainder of the year.,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,9 Organic Materials,46,,Table9-7:TotalSulphur and Magnesiumlevels in organic fertilizers,1,Table9-7:TotalSulphur and Magnesiumlevels in organic fertilizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,9 Organic Materials,46,,Table9-7:TotalSulphur and Magnesiumlevels in organic fertilizers,2,Organic Fertilizer Type,,,S kg/t1,,Mg kg/t1,,,,,,,,,,,,,,,,,,,,,,,
22,9 Organic Materials,46,,Table9-7:TotalSulphur and Magnesiumlevels in organic fertilizers,3,,Cattle slurry,,,0.3,0.4,,,,,,,,,,,,,,,,,,,,,,,
22,9 Organic Materials,46,,Table9-7:TotalSulphur and Magnesiumlevels in organic fertilizers,4,,Pig slurry,,,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,
22,9 Organic Materials,46,,Table9-7:TotalSulphur and Magnesiumlevels in organic fertilizers,5,,Sheep slurry,,,--,--,,,,,,,,,,,,,,,,,,,,,,,
22,9 Organic Materials,46,,Table9-7:TotalSulphur and Magnesiumlevels in organic fertilizers,6,,Dungstead manure (cattle),,,--,--,,,,,,,,,,,,,,,,,,,,,,,
22,9 Organic Materials,46,,Table9-7:TotalSulphur and Magnesiumlevels in organic fertilizers,7,,Farmyard manure,,,0.9,1.1,,,,,,,,,,,,,,,,,,,,,,,
22,9 Organic Materials,46,,Table9-7:TotalSulphur and Magnesiumlevels in organic fertilizers,8,,Poultry:,Slurry (layers 30% DM),,1.4,1.3,,,,,,,,,,,,,,,,,,,,,,,
22,9 Organic Materials,46,,Table9-7:TotalSulphur and Magnesiumlevels in organic fertilizers,9,,,Broilers / deep litter,,3.2,2.6,,,,,,,,,,,,,,,,,,,,,,,
22,9 Organic Materials,46,,Table9-7:TotalSulphur and Magnesiumlevels in organic fertilizers,10,,,Layers (55% DM),,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,
22,9 Organic Materials,46,,Table9-7:TotalSulphur and Magnesiumlevels in organic fertilizers,11,,,Turkeys,,--,--,,,,,,,,,,,,,,,,,,,,,,,
22,9 Organic Materials,46,,Table9-7:TotalSulphur and Magnesiumlevels in organic fertilizers,12,,Spent mushroom compost(35% DM),,,6.6,2.1,,,,,,,,,,,,,,,,,,,,,,,
22,9 Organic Materials,46,,Table9-7:TotalSulphur and Magnesiumlevels in organic fertilizers,13,,1. 1 tonne slurry = 1000 litres = 1 m3. 1000 gallons = 4.5 tonnes. 1000,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,9 Organic Materials,46,,Table9-7:TotalSulphur and Magnesiumlevels in organic fertilizers,14,,gallons/acre = 11 tonnes/ha. (See Appendix 1).,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,9 Organic Materials,46,,Table9-7:TotalSulphur and Magnesiumlevels in organic fertilizers,15,,"Source: (DEFRA, 2006)",,,,,,,,,,,,,,,,,,,,,,,,,,,
23,9 Organic Materials,48,,"Table9-8:TypicalavailableN,P, andK applied(kg/ha)1, 2, 3, 4depending on cattle slurry dry matter content and application rate4",1,"Table9-8:TypicalavailableN,P, andK applied(kg/ha)1, 2, 3, 4depending on cattle slurry dry matter content and application rate4",,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,9 Organic Materials,48,,"Table9-8:TypicalavailableN,P, andK applied(kg/ha)1, 2, 3, 4depending on cattle slurry dry matter content and application rate4",2,Slurry Application Rate,,4% DM,,,6% DM,,,8% DM,,,10% DM,,,,,,,,,,,,,,,,,
23,9 Organic Materials,48,,"Table9-8:TypicalavailableN,P, andK applied(kg/ha)1, 2, 3, 4depending on cattle slurry dry matter content and application rate4",3,,,Slurry,,,Slurry,,,Slurry,,,Slurry,,,,,,,,,,,,,,,,,
