zone,county,material,closed_from_mm_dd,closed_through_mm_dd,source_id,exception_rule
A,Carlow,chemical_fertiliser,09-15,01-29,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
A,Carlow,organic_fertiliser_other_than_FYM,10-01,01-12,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
A,Carlow,farmyard_manure,11-01,01-12,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
A,Cork,chemical_fertiliser,09-15,01-29,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
A,Cork,organic_fertiliser_other_than_FYM,10-01,01-12,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
A,Cork,farmyard_manure,11-01,01-12,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
A,Dublin,chemical_fertiliser,09-15,01-29,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
A,Dublin,organic_fertiliser_other_than_FYM,10-01,01-12,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
A,Dublin,farmyard_manure,11-01,01-12,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
A,Kildare,chemical_fertiliser,09-15,01-29,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
A,Kildare,organic_fertiliser_other_than_FYM,10-01,01-12,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
A,Kildare,farmyard_manure,11-01,01-12,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
A,Kilkenny,chemical_fertiliser,09-15,01-29,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
A,Kilkenny,organic_fertiliser_other_than_FYM,10-01,01-12,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
A,Kilkenny,farmyard_manure,11-01,01-12,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
A,Laois,chemical_fertiliser,09-15,01-29,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
A,Laois,organic_fertiliser_other_than_FYM,10-01,01-12,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
A,Laois,farmyard_manure,11-01,01-12,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
A,Offaly,chemical_fertiliser,09-15,01-29,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
A,Offaly,organic_fertiliser_other_than_FYM,10-01,01-12,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
A,Offaly,farmyard_manure,11-01,01-12,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
A,Tipperary,chemical_fertiliser,09-15,01-29,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
A,Tipperary,organic_fertiliser_other_than_FYM,10-01,01-12,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
A,Tipperary,farmyard_manure,11-01,01-12,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
A,Waterford,chemical_fertiliser,09-15,01-29,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
A,Waterford,organic_fertiliser_other_than_FYM,10-01,01-12,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
A,Waterford,farmyard_manure,11-01,01-12,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
A,Wexford,chemical_fertiliser,09-15,01-29,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
A,Wexford,organic_fertiliser_other_than_FYM,10-01,01-12,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
A,Wexford,farmyard_manure,11-01,01-12,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
A,Wicklow,chemical_fertiliser,09-15,01-29,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
A,Wicklow,organic_fertiliser_other_than_FYM,10-01,01-12,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
A,Wicklow,farmyard_manure,11-01,01-12,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
B,Clare,chemical_fertiliser,09-15,01-29,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
