previous_year_gsr_band,soil_p_index,max_available_P_kg_ha,scheme,source_id
<=85,1,27,standard,LAW_IE_SI_588_2025
<=85,2,17,standard,LAW_IE_SI_588_2025
<=85,3,7,standard,LAW_IE_SI_588_2025
<=85,4,0,standard,LAW_IE_SI_588_2025
86-130,1,30,standard,LAW_IE_SI_588_2025
86-130,2,20,standard,LAW_IE_SI_588_2025
86-130,3,10,standard,LAW_IE_SI_588_2025
86-130,4,0,standard,LAW_IE_SI_588_2025
131-170,1,33,standard,LAW_IE_SI_588_2025
131-170,2,23,standard,LAW_IE_SI_588_2025
131-170,3,13,standard,LAW_IE_SI_588_2025
131-170,4,0,standard,LAW_IE_SI_588_2025
171-210,1,36,standard,LAW_IE_SI_588_2025
171-210,2,26,standard,LAW_IE_SI_588_2025
171-210,3,16,standard,LAW_IE_SI_588_2025
171-210,4,0,standard,LAW_IE_SI_588_2025
>210,1,39,standard,LAW_IE_SI_588_2025
>210,2,29,standard,LAW_IE_SI_588_2025
>210,3,19,standard,LAW_IE_SI_588_2025
>210,4,0,standard,LAW_IE_SI_588_2025
131-170,1,63,increased_build_up_CONDITIONAL,LAW_IE_SI_588_2025
131-170,2,43,increased_build_up_CONDITIONAL,LAW_IE_SI_588_2025
131-170,3,13,increased_build_up_CONDITIONAL,LAW_IE_SI_588_2025
131-170,4,0,increased_build_up_CONDITIONAL,LAW_IE_SI_588_2025
171-210,1,66,increased_build_up_CONDITIONAL,LAW_IE_SI_588_2025
171-210,2,46,increased_build_up_CONDITIONAL,LAW_IE_SI_588_2025
171-210,3,16,increased_build_up_CONDITIONAL,LAW_IE_SI_588_2025
171-210,4,0,increased_build_up_CONDITIONAL,LAW_IE_SI_588_2025
>210,1,69,increased_build_up_CONDITIONAL,LAW_IE_SI_588_2025
>210,2,49,increased_build_up_CONDITIONAL,LAW_IE_SI_588_2025
>210,3,19,increased_build_up_CONDITIONAL,LAW_IE_SI_588_2025
>210,4,0,increased_build_up_CONDITIONAL,LAW_IE_SI_588_2025
