milking_platform_available_chemical_N_allowance_kg_ha,milking_platform_stocking_rate_min,milking_platform_stocking_rate_max,organic_N_to_move_kg_ha,source_id
114,,386,0,LAW_IE_SI_119_2026
114,387,406,20,LAW_IE_SI_119_2026
114,407,426,40,LAW_IE_SI_119_2026
114,427,,>=41,LAW_IE_SI_119_2026
150,,350,0,LAW_IE_SI_119_2026
150,351,370,20,LAW_IE_SI_119_2026
150,371,390,40,LAW_IE_SI_119_2026
150,391,,>=41,LAW_IE_SI_119_2026
185,,315,0,LAW_IE_SI_119_2026
185,316,335,20,LAW_IE_SI_119_2026
185,336,355,40,LAW_IE_SI_119_2026
185,356,,>=41,LAW_IE_SI_119_2026
200,,300,0,LAW_IE_SI_119_2026
200,301,320,20,LAW_IE_SI_119_2026
200,321,340,40,LAW_IE_SI_119_2026
200,341,,>=41,LAW_IE_SI_119_2026
214,,286,0,LAW_IE_SI_119_2026
214,287,306,20,LAW_IE_SI_119_2026
214,307,326,40,LAW_IE_SI_119_2026
214,327,,>=41,LAW_IE_SI_119_2026
241,,259,0,LAW_IE_SI_119_2026
241,260,279,20,LAW_IE_SI_119_2026
241,280,299,40,LAW_IE_SI_119_2026
241,300,,>=41,LAW_IE_SI_119_2026
