county,minimum_storage_weeks,source_id,cross_county_rule
Carlow,16,LAW_IE_SI_588_2025,"If >=20% of holding lies in a county requiring longer storage, use the longest applicable period."
Cork,16,LAW_IE_SI_588_2025,"If >=20% of holding lies in a county requiring longer storage, use the longest applicable period."
Dublin,16,LAW_IE_SI_588_2025,"If >=20% of holding lies in a county requiring longer storage, use the longest applicable period."
Kildare,16,LAW_IE_SI_588_2025,"If >=20% of holding lies in a county requiring longer storage, use the longest applicable period."
Kilkenny,16,LAW_IE_SI_588_2025,"If >=20% of holding lies in a county requiring longer storage, use the longest applicable period."
Laois,16,LAW_IE_SI_588_2025,"If >=20% of holding lies in a county requiring longer storage, use the longest applicable period."
Offaly,16,LAW_IE_SI_588_2025,"If >=20% of holding lies in a county requiring longer storage, use the longest applicable period."
Tipperary,16,LAW_IE_SI_588_2025,"If >=20% of holding lies in a county requiring longer storage, use the longest applicable period."
Waterford,16,LAW_IE_SI_588_2025,"If >=20% of holding lies in a county requiring longer storage, use the longest applicable period."
Wexford,16,LAW_IE_SI_588_2025,"If >=20% of holding lies in a county requiring longer storage, use the longest applicable period."
Wicklow,16,LAW_IE_SI_588_2025,"If >=20% of holding lies in a county requiring longer storage, use the longest applicable period."
Clare,18,LAW_IE_SI_588_2025,"If >=20% of holding lies in a county requiring longer storage, use the longest applicable period."
Galway,18,LAW_IE_SI_588_2025,"If >=20% of holding lies in a county requiring longer storage, use the longest applicable period."
Kerry,18,LAW_IE_SI_588_2025,"If >=20% of holding lies in a county requiring longer storage, use the longest applicable period."
Limerick,18,LAW_IE_SI_588_2025,"If >=20% of holding lies in a county requiring longer storage, use the longest applicable period."
Longford,18,LAW_IE_SI_588_2025,"If >=20% of holding lies in a county requiring longer storage, use the longest applicable period."
Louth,18,LAW_IE_SI_588_2025,"If >=20% of holding lies in a county requiring longer storage, use the longest applicable period."
Mayo,18,LAW_IE_SI_588_2025,"If >=20% of holding lies in a county requiring longer storage, use the longest applicable period."
Meath,18,LAW_IE_SI_588_2025,"If >=20% of holding lies in a county requiring longer storage, use the longest applicable period."
Roscommon,18,LAW_IE_SI_588_2025,"If >=20% of holding lies in a county requiring longer storage, use the longest applicable period."
Sligo,18,LAW_IE_SI_588_2025,"If >=20% of holding lies in a county requiring longer storage, use the longest applicable period."
Westmeath,18,LAW_IE_SI_588_2025,"If >=20% of holding lies in a county requiring longer storage, use the longest applicable period."
Donegal,20,LAW_IE_SI_588_2025,"If >=20% of holding lies in a county requiring longer storage, use the longest applicable period."
Leitrim,20,LAW_IE_SI_588_2025,"If >=20% of holding lies in a county requiring longer storage, use the longest applicable period."
Cavan,22,LAW_IE_SI_588_2025,"If >=20% of holding lies in a county requiring longer storage, use the longest applicable period."
Monaghan,22,LAW_IE_SI_588_2025,"If >=20% of holding lies in a county requiring longer storage, use the longest applicable period."
